link(1, 2).
link(2, 3).
link(3, 4).
link(4, 5).
link(5, 6).
link(6, 7).
link(7, 8).
link(8, 9).
link(9, 10).
link(10, 11).
link(11, 12).
link(12, 13).
link(13, 14).
link(14, 15).
link(15, 16).
link(16, 17).
link(17, 18).
link(18, 19).
link(19, 20).
link(20, 21).
link(21, 22).
link(22, 23).
link(23, 24).
link(24, 25).
link(25, 26).
link(26, 27).
link(27, 28).
link(28, 29).
link(29, 30).
link(30, 31).
link(31, 32).
link(32, 33).
link(33, 34).
link(34, 35).
link(35, 36).
link(36, 37).
link(37, 38).
link(38, 39).
link(39, 40).
link(40, 41).
link(41, 42).
link(42, 43).
link(43, 44).
link(44, 45).
link(45, 46).
link(46, 47).
link(47, 48).
link(48, 49).
link(49, 50).
link(50, 51).
link(51, 52).
link(52, 53).
link(53, 54).
link(54, 55).
link(55, 56).
link(56, 57).
link(57, 58).
link(58, 59).
link(59, 60).
link(60, 61).
link(61, 62).
link(62, 63).
link(63, 64).
link(64, 65).
link(65, 66).
link(66, 67).
link(67, 68).
link(68, 69).
link(69, 70).
link(70, 71).
link(71, 72).
link(72, 73).
link(73, 74).
link(74, 75).
link(75, 76).
link(76, 77).
link(77, 78).
link(78, 79).
link(79, 80).
link(80, 81).
link(81, 82).
link(82, 83).
link(83, 84).
link(84, 85).
link(85, 86).
link(86, 87).
link(87, 88).
link(88, 89).
link(89, 90).
link(90, 91).
link(91, 92).
link(92, 93).
link(93, 94).
link(94, 95).
link(95, 96).
link(96, 97).
link(97, 98).
link(98, 99).
link(99, 100).
link(100, 101).

reachable(X, Y) :- link(X, Y).
reachable(X, Y) :- link(X, Z), reachable(Z,Y).
